samples,tissue,estimate,status
nonpreg4,placenta,0.014001285049863709,not pregnant
nonpreg5,placenta,0.002522134693324497,not pregnant
nonpreg6,placenta,0.0016641510624762384,not pregnant
nonpreg7,placenta,0.0003625195789387965,not pregnant
nonpreg8,placenta,1.4533128812428104e-05,not pregnant
preg1,placenta,0.08295166785207257,pregnant
preg2,placenta,0.1660543248962269,pregnant
preg3,placenta,0.08929707805241235,pregnant
preg4,placenta,0.12056134986940135,pregnant
preg5,placenta,0.07824160872938328,pregnant
preg6,placenta,0.03811181382803215,pregnant
preg7,placenta,0.13721126940792686,pregnant
nonpreg1,tcell,0.018760374157644817,not pregnant
nonpreg2,tcell,0.05523713027248562,not pregnant
nonpreg3,tcell,0.05531518081473644,not pregnant
nonpreg4,tcell,0.04695566888243729,not pregnant
nonpreg5,tcell,0.01305456624083446,not pregnant
nonpreg6,tcell,0.02174863420427212,not pregnant
nonpreg7,tcell,0.017442511399734486,not pregnant
nonpreg8,tcell,0.022920500467035424,not pregnant
preg1,tcell,0.028387833087153674,pregnant
preg2,tcell,0.02177142202363189,pregnant
preg3,tcell,0.0024741850606483933,pregnant
preg4,tcell,0.051594462477328164,pregnant
preg5,tcell,0.02385524347958023,pregnant
preg6,tcell,0.007374923180392459,pregnant
preg7,tcell,0.0415199686208476,pregnant
nonpreg1,adipose,6.049432220110617e-98,not pregnant
nonpreg2,adipose,1.3125811529728754e-47,not pregnant
nonpreg3,adipose,2.8096615487257485e-92,not pregnant
nonpreg4,adipose,3.2310223448584797e-73,not pregnant
nonpreg5,adipose,4.788355727906332e-107,not pregnant
nonpreg6,adipose,2.5258669884992884e-69,not pregnant
nonpreg7,adipose,7.709580533953362e-62,not pregnant
nonpreg8,adipose,1.2824462352749179e-101,not pregnant
preg1,adipose,8.603731443494845e-147,pregnant
preg2,adipose,6.95164666812235e-83,pregnant
preg3,adipose,6.388541898599581e-115,pregnant
preg4,adipose,1.6201786803442704e-55,pregnant
preg5,adipose,1.2313584591490367e-24,pregnant
preg6,adipose,6.95317821009238e-97,pregnant
preg7,adipose,1.0664816000252477e-07,pregnant
nonpreg1,brain,9.132333483155538e-107,not pregnant
nonpreg2,brain,1.346233452311543e-54,not pregnant
nonpreg3,brain,1.7023689830793412e-107,not pregnant
nonpreg4,brain,4.585709448669236e-80,not pregnant
nonpreg5,brain,6.895981888528181e-131,not pregnant
nonpreg6,brain,3.0818051897198117e-77,not pregnant
nonpreg7,brain,4.2128875541450945e-50,not pregnant
nonpreg8,brain,1.5868987428566729e-112,not pregnant
preg1,brain,1.7363153882303688e-167,pregnant
preg2,brain,1.5462907379636892e-95,pregnant
preg3,brain,3.4080215331165837e-124,pregnant
